outcome,spec,coef_density_z,se_cluster,t,p,r2_within,n
ttm_growth,ticker FE,-0.5552572565344875,0.14353597656157308,-3.868418704744013,0.0001095434455643532,0.0010303736901783322,19081
ttm_growth,ticker + quarter FE,-0.29256071343339535,0.13933880698881193,-2.099635555634449,0.03576091254348125,0.00029097642024711323,19081
yoy_innovation,ticker FE,-2.22102902613795,0.5741439062462923,-3.868418704744013,0.0001095434455643532,0.0010303736901783322,19081
yoy_innovation,ticker + quarter FE,-1.1702428537335814,0.5573552279552477,-2.099635555634449,0.03576091254348125,0.00029097642024711323,19081
